Mutant ID,Munatnt Operator,Reference,Explanation,BugID,Bug identification,Patch
no,no,no,"Multi-line edits and complex structural changes. The patch has 33 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid1,Bower,"diff --git a/lib/core/PackageRepository.js b/lib/core/PackageRepository.js
index 902889d..39018ee 100644
--- a/lib/core/PackageRepository.js
+++ b/lib/core/PackageRepository.js
@@ -46,7 +46,11 @@ PackageRepository.prototype.fetch = function (decEndpoint) {
         info.resolver = resolver;
         isTargetable = resolver.constructor.isTargetable;
 
-        // If force flag is used, bypass cache
+        if (resolver.isNotCacheable()) {
+            return that._resolve(resolver, logger);
+        }
+
+        // If force flag is used, bypass cache, but write to cache anyway
         if (that._config.force) {
             logger.action('resolve', resolver.getSource() + '#' + resolver.getTarget());
             return that._resolve(resolver, logger);
@@ -171,12 +175,11 @@ PackageRepository.prototype._resolve = function (resolver, logger) {
     return resolver.resolve()
     // Store in the cache
     .then(function (canonicalDir) {
-        // We don't want to cache moving targets like branches
-        if (resolver._resolution && resolver._resolution.type === 'branch') {
+        if (resolver.isNotCacheable()) {
             return canonicalDir;
-        } else {
-            return that._resolveCache.store(canonicalDir, resolver.getPkgMeta());
         }
+
+        return that._resolveCache.store(canonicalDir, resolver.getPkgMeta());
     })
     // Resolve promise with canonical dir and package meta
     .then(function (dir) {
diff --git a/lib/core/resolvers/Resolver.js b/lib/core/resolvers/Resolver.js
index f5dc476..4fa2072 100644
--- a/lib/core/resolvers/Resolver.js
+++ b/lib/core/resolvers/Resolver.js
@@ -114,6 +114,26 @@ Resolver.prototype.resolve = function () {
     });
 };
 
+Resolver.prototype.isNotCacheable = function () {
+    // Bypass cache for local dependencies
+    if (this._source &&
+        /^(?:file:[\/\\]{2})?\.?\.?[\/\\]/.test(this._source)
+    ) {
+        return true;
+    }
+
+    // We don't want to cache moving targets like branches
+    if (this._pkgMeta &&
+        this._pkgMeta._resolution &&
+        this._pkgMeta._resolution.type === 'branch')
+    {
+        return true;
+    }
+
+    return false;
+};
+
+
 // -----------------
 
 // Abstract functions that must be implemented by concrete resolvers
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 14 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid2,Bower,"diff --git a/lib/core/Project.js b/lib/core/Project.js
index 3779819..895d9a4 100644
--- a/lib/core/Project.js
+++ b/lib/core/Project.js
@@ -86,7 +86,7 @@ Project.prototype.install = function (decEndpoints, options, config) {
     })
     .then(function (installed) {
         // Handle save and saveDev options
-        if (that._options.save || that._options.saveDev) {
+        if (that._options.save || that._options.saveDev || that._options.saveExact) {
             // Cycle through the specified endpoints
             decEndpoints.forEach(function (decEndpoint) {
                 var jsonEndpoint;
@@ -94,15 +94,17 @@ Project.prototype.install = function (decEndpoints, options, config) {
                 jsonEndpoint = endpointParser.decomposed2json(decEndpoint);
 
                 if (that._options.saveExact) {
-                    jsonEndpoint[decEndpoint.name] = decEndpoint.pkgMeta.version;
-                }
-
-                if (that._options.save) {
-                    that._json.dependencies = mout.object.mixIn(that._json.dependencies || {}, jsonEndpoint);
+                    if (decEndpoint.name !== decEndpoint.source) {
+                        jsonEndpoint[decEndpoint.name] = decEndpoint.source + '#' + decEndpoint.pkgMeta.version;
+                    } else {
+                        jsonEndpoint[decEndpoint.name] = decEndpoint.pkgMeta.version;
+                    }
                 }
 
                 if (that._options.saveDev) {
                     that._json.devDependencies = mout.object.mixIn(that._json.devDependencies || {}, jsonEndpoint);
+                } else {
+                    that._json.dependencies = mout.object.mixIn(that._json.dependencies || {}, jsonEndpoint);
                 }
             });
         }
"
Method Call Replacement (MCR),MCR[],PIT and Major,"The patch replaces or removes a method/function call. Therefore, it corresponds to Method Call Replacement / Removal.",bid3,Bower,"diff --git a/lib/core/scripts.js b/lib/core/scripts.js
index 94be8ff..23499d2 100644
--- a/lib/core/scripts.js
+++ b/lib/core/scripts.js
@@ -83,7 +83,8 @@ var hook = function (action, ordered, config, logger, packages, installed, json)
     }
 
     var orderedPackages = ordered ? orderByDependencies(packages, installed, json) : mout.object.keys(packages);
-    var cmdString = mout.string.replace(config.scripts[action], '%', orderedPackages.join(' '));
+    var placeholder = new RegExp('%', 'g');
+    var cmdString = mout.string.replace(config.scripts[action], placeholder, orderedPackages.join(' '));
     return run(cmdString, action, logger, config);
 };
 
"
Modification of Condition Statement (MOCS),MOCS[],PIT and Major,Condition statement expression was modified,bid4,Eslint,"diff --git a/lib/rules/no-obj-calls.js b/lib/rules/no-obj-calls.js
index bd9b6ee4..617459c4 100644
--- a/lib/rules/no-obj-calls.js
+++ b/lib/rules/no-obj-calls.js
@@ -28,7 +28,7 @@ module.exports = {
                 if (node.callee.type === ""Identifier"") {
                     const name = node.callee.name;
 
-                    if (name === ""Math"" || name === ""JSON"") {
+                    if (name === ""Math"" || name === ""JSON"" || name === ""Reflect"") {
                         context.report(node, ""'{{name}}' is not a function."", { name });
                     }
                 }
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 13 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid5,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index 5b8d5e32..2a30e911 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -238,6 +238,19 @@ module.exports = function(context) {
             indent = getNodeIndent(calleeNode);
         }
 
+        // If part of a multi-line chain call, indent one more to differentiate:
+        // var a = new P()
+        //     .done(function (result) {
+        //         doUsefulStuff(result);
+        //     });
+        var calleeLoc = calleeNode.type === ""CallExpression"" && calleeNode.callee.loc;
+        if (calleeLoc &&
+            calleeNode.loc.start.line < calleeLoc.end.line &&
+            calleeLoc.end.line < node.loc.start.line
+        ) {
+            indent += indentSize;
+        }
+
         indent += indentSize;
         // If function content is not empty
         if (node.body.length > 0) {
"
"Condition insertion[], Modification of Return Value","CI[],MRV[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 5 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid6,Eslint,"diff --git a/lib/rules/prefer-template.js b/lib/rules/prefer-template.js
index b86f21d5..6b9fb4c4 100644
--- a/lib/rules/prefer-template.js
+++ b/lib/rules/prefer-template.js
@@ -31,7 +31,10 @@ function hasNonLiteral(node) {
     if (node.type === ""BinaryExpression"") {
         return hasNonLiteral(node.left) || hasNonLiteral(node.right);
     }
-    return node.type !== ""Literal"";
+    if (node.type === ""UnaryExpression"") {
+        return hasNonLiteral(node.argument);
+    }
+    return node.type !== ""Literal"" && node.type !== ""TemplateLiteral"";
 }
 
 //------------------------------------------------------------------------------
"
Condition insertion,CI[],PIT and Major,"Multi-line edits and complex structural changes. The patch has 5 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid7,Eslint,"diff --git a/lib/rules/no-dupe-keys.js b/lib/rules/no-dupe-keys.js
index 75b233b5..f34c323f 100644
--- a/lib/rules/no-dupe-keys.js
+++ b/lib/rules/no-dupe-keys.js
@@ -107,6 +107,11 @@ module.exports = {
             Property(node) {
                 const name = astUtils.getStaticPropertyName(node);
 
+                // Skip destructuring.
+                if (node.parent.type !== ""ObjectExpression"") {
+                    return;
+                }
+
                 // Skip if the name is not static.
                 if (!name) {
                     return;
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 13 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid8,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index e0ad2005..7e60a8d0 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -255,20 +255,18 @@ module.exports = {
          * @param {int} lastNodeCheckEndOffset Number of charecters to skip from the end
          * @returns {void}
          */
-        function report(node, needed, gottenSpaces, gottenTabs, loc, isLastNodeCheck, lastNodeCheckEndOffset) {
+        function report(node, needed, gottenSpaces, gottenTabs, loc, isLastNodeCheck) {
             if (gottenSpaces && gottenTabs) {
 
                 // To avoid conflicts with `no-mixed-spaces-and-tabs`, don't report lines that have both spaces and tabs.
                 return;
             }
 
-            lastNodeCheckEndOffset = lastNodeCheckEndOffset || 0;
-
             const desiredIndent = (indentType === ""space"" ? "" "" : ""\t"").repeat(needed);
 
             const textRange = isLastNodeCheck
-                ? [node.range[1] - gottenSpaces - gottenTabs - 1 - lastNodeCheckEndOffset, node.range[1] - 1 - lastNodeCheckEndOffset]
-                : [node.range[0] - gottenSpaces - gottenTabs, node.range[0]];
+                ? [node.range[1] - node.loc.end.column, node.range[1] - node.loc.end.column + gottenSpaces + gottenTabs]
+                : [node.range[0] - node.loc.start.column, node.range[0] - node.loc.start.column + gottenSpaces + gottenTabs];
 
             context.report({
                 node,
@@ -406,13 +404,11 @@ module.exports = {
          */
         function checkLastReturnStatementLineIndent(node, firstLineIndent) {
             const nodeLastToken = sourceCode.getLastToken(node);
-            let lastNodeCheckEndOffset = 0;
             let lastToken = nodeLastToken;
 
             // in case if return statement ends with ');' we have traverse back to ')'
             // otherwise we'll measure indent for ';' and replace ')'
             while (lastToken.value !== "")"") {
-                lastNodeCheckEndOffset++;
                 lastToken = sourceCode.getTokenBefore(lastToken);
             }
 
@@ -433,8 +429,7 @@ module.exports = {
                     endIndent.space,
                     endIndent.tab,
                     { line: lastToken.loc.start.line, column: lastToken.loc.start.column },
-                    true,
-                    lastNodeCheckEndOffset
+                    true
                 );
             }
         }
"
"Modification condition statement, Method call replacement, Modification return Value","MOCS[],MCR[],MRV[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 16 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid9,Eslint,"diff --git a/lib/rules/arrow-spacing.js b/lib/rules/arrow-spacing.js
index fb2fbbfa..3bc90176 100644
--- a/lib/rules/arrow-spacing.js
+++ b/lib/rules/arrow-spacing.js
@@ -51,16 +51,18 @@ module.exports = {
          * @returns {Object} Tokens of arrow and before/after arrow.
          */
         function getTokens(node) {
-            let t = sourceCode.getFirstToken(node);
-            let before;
+            let arrow = sourceCode.getTokenBefore(node.body);
 
-            while (t.type !== ""Punctuator"" || t.value !== ""=>"") {
-                before = t;
-                t = sourceCode.getTokenAfter(t);
+            // skip '(' tokens.
+            while (arrow.value !== ""=>"") {
+                arrow = sourceCode.getTokenBefore(arrow);
             }
-            const after = sourceCode.getTokenAfter(t);
 
-            return { before, arrow: t, after };
+            return {
+                before: sourceCode.getTokenBefore(arrow),
+                arrow,
+                after: sourceCode.getTokenAfter(arrow)
+            };
         }
 
         /**
"
"Methodcall replacement, Condotion insertion, Modification of condition statement","MCR[],CI[],MOCS[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 7 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid10,Eslint,"diff --git a/lib/rules/comma-dangle.js b/lib/rules/comma-dangle.js
index 0ab85817..1c8f79ea 100644
--- a/lib/rules/comma-dangle.js
+++ b/lib/rules/comma-dangle.js
@@ -25,7 +25,7 @@ module.exports = function (context) {
     function checkForTrailingComma(node) {
         var items = node.properties || node.elements,
             length = items.length,
-            nodeIsMultiLine = node.loc.start.line !== node.loc.end.line,
+            lastTokenOnNewLine,
             lastItem,
             penultimateToken,
             hasDanglingComma;
@@ -39,9 +39,10 @@ module.exports = function (context) {
                 if (forbidDangle && hasDanglingComma) {
                     context.report(lastItem, penultimateToken.loc.start, UNEXPECTED_MESSAGE);
                 } else if (allowDangle === ""always-multiline"") {
-                    if (hasDanglingComma && !nodeIsMultiLine) {
+                    lastTokenOnNewLine = node.loc.end.line !== penultimateToken.loc.end.line;
+                    if (hasDanglingComma && !lastTokenOnNewLine) {
                         context.report(lastItem, penultimateToken.loc.start, UNEXPECTED_MESSAGE);
-                    } else if (!hasDanglingComma && nodeIsMultiLine) {
+                    } else if (!hasDanglingComma && lastTokenOnNewLine) {
                         context.report(lastItem, penultimateToken.loc.end, MISSING_MESSAGE);
                     }
                 } else if (allowDangle === ""always"" && !hasDanglingComma) {
"
