published_rank,prapr_id,prapr_name,hdrepair_frequency_percent,source,mapped_family,mapping_status,mapping_rationale
1,MR,Method Replacement,8.76,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",MCR,direct,Method invocation replacement maps to Method Call Replacement.
2,CO,Conditional,2.26,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",ROR,approximate,Conditional replacement is consolidated under Relational Operator Replacement.
3,FR,Field Replacement,2.17,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",VR,approximate,Field replacement is consolidated under Variable Replacement.
4,VR,Variable Replacement,1.8,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",VR,direct,Same semantic family.
5,MC,Method Call,0.95,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",MCR,approximate,Method-call removal/default-value replacement is consolidated under Method Call Replacement.
6,IC,Inline Constants,0.76,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",CR,direct,Inline-constant mutation maps to Constant Replacement.
7,AP,Argument Propagation,0.37,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",MPM,approximate,Argument propagation is consolidated under Method Parameter Modification.
8,MG,Method Guard,0.31,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",CI,direct,Method guard insertion maps to Condition Insertion.
9,AO,Arithmetic Operator,0.15,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",AOR,direct,Arithmetic operator mutation maps to Arithmetic Operator Replacement.
10,IS,Increments,0.15,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",AOR,approximate,Increment/decrement mutation is consolidated under Arithmetic Operator Replacement.
11,RV,Return Value,0.09,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",MRV,direct,Return-value mutation maps to Modification of Return Value.
12,TR,Type Replacement,0.09,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",DTR,direct,Type replacement maps to Data Type Replacement.
13,FG,Field Guard,0.09,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",CI,direct,Field guard insertion maps to Condition Insertion.
14,CC,Constructor Call,0.06,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",MCR,approximate,Constructor-call mutation is consolidated under Method Call Replacement.
15,MV,Member Variable,0.06,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",VA,approximate,Member-variable default assignment is consolidated under Variable Assignment.
16,PC,Pre/Post-Condition,0.06,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",CI,direct,Pre/post-condition guard insertion maps to Condition Insertion.
17,SW,Switch,0.0,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",CASEI,approximate,Switch mutation is consolidated under case-level modification.
18,IN,Invert Negatives,0.0,"PraPR ISSTA 2019, Table 3 (frequencies mined from HD-Repair)",AOR,approximate,Unary sign inversion is consolidated under Arithmetic Operator Replacement.
