Mutant ID,Mutant Operator,Reference,Explanation,BugID,Bug identification,Patch
"Method call replacement, Variable assignment","MCR[],VA[]",Major and Pit,single line edit at two places ,Chart_1_run2,Chart_1,"--- source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java
+++ source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java
@@ -1787,7 +1787,7 @@
         // if the dataset has selection state, we can use it to determine the
         // visible series
         if (dataset instanceof SelectableCategoryDataset) {
-            SelectableCategoryDataset scd = (SelectableCategoryDataset) dataset;
+            SelectableCategoryDataset scd = (SelectableCategoryDataset) dataset;
             int seriesCount = scd.getRowCount();
             for (int s = 0; s < seriesCount; s++) {
                 if (scd.isSelected(s)) {
@@ -1798,7 +1798,7 @@
             // otherwise we just use the visible series flags
         }
         else {
-            int seriesCount = dataset.getRowCount();
+            int seriesCount = dataset.getRowCount();
             for (int s = 0; s < seriesCount; s++) {
                 if (isSeriesVisible(s)) {
                     visibleSeries.add(s);
"
"Method call replacement, Condition insertion, control flow mutant","MCR[],CI[],CFSM",Major and Pit,composite edit of 3 differnet operators ,Chart_2_run5,Chart_2,"--- source/org/jfree/data/general/DatasetUtilities.java
+++ source/org/jfree/data/general/DatasetUtilities.java
@@ -1194,6 +1194,10 @@
             for (int column = 0; column < columnCount; column++) {
                 Number v = dataset.getValue(row, column);
                 if (v != null) {
+                    double vv = v.doubleValue();
+                    if (Double.isNaN(vv)) {
+                        continue;
+                    }
                     min = Math.min(min, v.doubleValue());
                     max = Math.max(max, v.doubleValue());
                 }
"
"Statement insertion, Variable intilzation","SI[],VA[]",Major and Pit,composite of two different operators ,Chart_3_run2,Chart_3,"--- source/org/jfree/data/time/TimeSeries.java
+++ source/org/jfree/data/time/TimeSeries.java
@@ -1042,10 +1042,12 @@
         if (end < start) {
             throw new IllegalArgumentException(""Requires start <= end."");
         }
-        TimeSeries copy = (TimeSeries) super.clone();
-        copy.data = new java.util.ArrayList();
-        if (this.data.size() > 0) {
-            for (int index = start; index <= end; index++) {
+        TimeSeries copy = (TimeSeries) super.clone();
+        copy.minY = Double.NaN;
+        copy.maxY = Double.NaN;
+        copy.data = new java.util.ArrayList();
+        if (this.data.size() > 0) {
+            for (int index = start; index <= end; index++) {
                 TimeSeriesDataItem item
                         = (TimeSeriesDataItem) this.data.get(index);
                 TimeSeriesDataItem clone = (TimeSeriesDataItem) item.clone();
"
no ,non-functional operators comments category,,,Chart_4_run1,Chart_4,"--- source/org/jfree/chart/axis/LogAxis.java
+++ source/org/jfree/chart/axis/LogAxis.java
@@ -259,8 +259,8 @@ public class LogAxis extends ValueAxis {
             double lower = Math.max(r.getLowerBound(), this.smallestValue);
             double range = upper - lower;
 
-            // if fixed auto range, then derive lower bound...
+            // if fixed auto range, then derive lower bound... (but not for log axis)
             double fixedAutoRange = getFixedAutoRange();
             if (fixedAutoRange > 0.0) {
                 lower = Math.max(upper - fixedAutoRange, this.smallestValue);
"
"Statement insertion, Variable intilzation","SI[],VA[]",Major and Pit,composit edit of two operators ,Chart_5_run4,Chart_5,"--- source/org/jfree/data/xy/XYSeries.java
+++ source/org/jfree/data/xy/XYSeries.java
@@ -539,6 +539,9 @@
                 // there is an item with the given x-value already
                 int index = indexOf(item.getX());
                 if (index >= 0) {
+                    // update the existing item
+                    XYDataItem existing = (XYDataItem) this.data.get(index);
+                    existing.setY(item.getY());
                     throw new SeriesException(""X-value already exists."");
                 }
             }
"
Condition insertion,CI[],Major and Pit,single operator ,Chart_6_run3,Chart_6,"--- source/org/jfree/chart/util/ShapeList.java
+++ source/org/jfree/chart/util/ShapeList.java
@@ -93,6 +93,7 @@
         if (obj == this) {
             return true;
         }
+        if (!(super.equals(obj))) return false;
         if (!(obj instanceof ShapeList)) {
             return false;
         }
"
method call replacement,MCR[],Major and Pit,method call replacement in two different places ,Chart_7_run1,Chart_7,"--- source/org/jfree/data/time/TimePeriodValues.java
+++ source/org/jfree/data/time/TimePeriodValues.java
@@ -297,8 +297,8 @@
         
         if (this.maxMiddleIndex >= 0) {
-            long s = getDataItem(this.minMiddleIndex).getPeriod().getStart()
+            long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart()
                 .getTime();
-            long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()
+            long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd()
                 .getTime();
             long maxMiddle = s + (e - s) / 2;
             if (middle > maxMiddle) {
"
no ,no ,no,no operator has been used in this patch ,Chart_8_run1,Chart_8,"--- source/org/jfree/data/time/Week.java	2008-12-17 14:22:31.000000000 +0000
+++ source/org/jfree/data/time/Week.java	2008-12-17 14:22:31.000000000 +0000
@@ -167,7 +167,7 @@
         if (time == null) {
             throw new IllegalArgumentException(""Null 'time' argument."");
         }
-        if (zone == null) {
+        if (zone == null) {
             throw new IllegalArgumentException(""Null 'zone' argument."");
         }
         if (locale == null) {
"
Arthematic operator replacement,AOR[],Major and Pit,artematic operator replacement,Chart_9_run1,Chart_9,"--- source/org/jfree/data/time/TimeSeries.java
+++ source/org/jfree/data/time/TimeSeries.java
@@ -1050,7 +1050,7 @@
         }
         int startIndex = getIndex(start);
         if (startIndex < 0) {
-            startIndex = -(startIndex + 1);
+            startIndex = -startIndex - 1;
         }
         int endIndex = getIndex(end);
         if (endIndex < 0) {
"
Modification of return value,MRV[],Major and Pit,modification of return value,Chart_10_run1,Chart_10,"--- source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java
+++ source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java
@@ -58,7 +58,7 @@
      * @return The formatted HTML area tag attribute(s).
      */
     public String generateToolTipFragment(String toolTipText) {
-        return "" title=\"""" + toolTipText
+        return "" title=\"""" + ImageMapUtilities.htmlEscape(toolTipText)
             + ""\"" alt=\""\"""";
     }
"
no ,no changes same edit,,same edit in buggy and fix version didn't change the single line ,Cli_1_run3,Cli_1,"--- src/java/org/apache/commons/cli/CommandLine.java	2004-11-16 16:56:20.000000000 +0000
+++ src/java/org/apache/commons/cli/CommandLine.java	2004-11-16 16:56:20.000000000 +0000
@@ -105,13 +105,13 @@
     public String[] getOptionValues(String opt)
     {
         opt = Util.stripLeadingHyphens(opt);
 
         String key = opt;
         if (names.containsKey(opt))
         {
-            key = (String) names.get(opt);
+            key = (String) names.get(opt);
         }
         if (options.containsKey(key))
         {
             return ((Option) options.get(key)).getValues();
         }
"
